commodity,bucket,gbp,has_t1,n_cells,n_countries,dupe_pct,dupe_partner,dupe_pct_ub,host_share,dupe_partner_ub,place_article,name_article,fold_candidate
Umbrellas And Parasols,KEEP,0,0,26,22,0,,0,0,,,,
"Wine, British Made — Staves And Empty Casks",KEEP,0,0,6,6,0,,0,0,,,,
"Wine, British Made — Unenumerated",KEEP,0,0,14,15,0,,0,0,,,,
"Yarn, Alpaca, Mohair, And Other Sorts Une-Numerated",KEEP,0,0,13,5,0,,0,0,,,,
"Extracts — Farinaceous Substances, And Manufacturesthereof, Unenumerated",KEEP,0,0,17,9,0,,0,0,,,,
"Silk — Broad Stuffs, Silk Or Satin",KEEP,0,0,1,1,0,,0,0,,,,
Apparel And Slops,KEEP,0,0,139,42,0,,0,0,,,,
"Fish, Fresh And Cured — Unenumerated",KEEP,0,0,33,8,0,,0,0,,,,
Medicines,KEEP,0,0,221,40,0,,0,0,,,,
"Medicines — Musical Instruments, And Parts Thereof",KEEP,0,0,34,17,0,,0,0,,,,
Painters' Colours And Materials — Unenumerated,KEEP,0,0,62,34,0,,0,0,,,,
Wood And Timber — Staves And Empty Casks,KEEP,0,0,6,6,0,,0,0,,,,
Cotton Manufactures — Red Pottery And Brown Stone Ware,KEEP,0,0,11,11,0,,0,0,,,,
"Cotton Manufactures — Earthenware, Chinaware, Parian, And Porcelain",KEEP,0,0,25,25,0,,0,0,,,,
"Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines, Locomotive",KEEP,0,0,106,33,0,,0,0,,,,
"Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines, Other Descriptions",KEEP,0,0,177,48,0,,0,0,,,,
Machinery And Mill Work — Not Being Steam Engines: Agricultural,KEEP,0,0,97,23,0,,0,0,,,,
Machinery And Mill Work — Not Being Steam Engines ; Other Descriptions,KEEP,0,0,139,43,0,,0,0,,,,
"Fruit — Nuts, Principally Used As Fruit",KEEP,0,0,10,7,0,,0,0,,,,
Apparel And Stores,KEEP,0,0,16,16,0,,0,0,,,,
Cotton Manufactures — Lace And Patent Net,KEEP,0,0,67,34,0,,0,0,,,,
Plated And Gift Wares,KEEP,0,0,11,11,0,,0,0,,,,
Saddlery And Harness,KEEP,0,0,57,21,0,,0,0,,,,
Calcitrhous Manufactures,KEEP,0,0,20,21,0,,0,0,,,,
Glass — Brodery And Needlework,KEEP,0,0,31,31,0,,0,0,,,,
Plated And Gilt Wares,KEEP,0,0,25,17,0,,0,0,,,,
"Arms And Ammunition — Rockets And Other Combustibles Of War, Andammunition, Unenumerated",KEEP,0,0,4,2,0,,0,0,,,,
"Jute — Machine Or Imitation Lace, Not Made By Hand",KEEP,0,0,4,2,0,,0,0,,,,
"Coals, Cinders, &C — Products Of Coal, Peat, Or Shale, Includingnaphtha, Paraffine, And Oil Thereof, Andpetroleum, Pitch, And Tar",KEEP,0,0,8,8,0,,0,0,,,,
Pilchards — Unenumerated,KEEP,0,0,4,4,0,,0,0,,,,
Extracts — Of Bark And Other Vegetable Substances Used In Tanning Or Dyeing,KEEP,0,0,9,6,0,,0,0,,,,
"Cement — Chemical Products Or Preparations, Not Speciallyenumerated",KEEP,0,0,11,11,0,,0,0,,,,
Implements And Tools — Unenumerated,KEEP,0,0,58,29,0,,0,0,,,,
Linen And Jute Manufactures — Luoifer And Vesta Matches,KEEP,0,0,9,9,0,,0,0,,,,
"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Locomotive",KEEP,0,0,18,18,0,,6,6,Cotton Manufactures — Muslins,,,
"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Other Descriptions",KEEP,0,0,24,24,0,,0,0,,,,
Machinery And Mills Work — Not Being Steam Engines ; Agricultural,KEEP,0,0,14,14,0,,0,0,,,,
Silk Manufactures — Ribbons Of All Kinds,KEEP,0,0,13,6,0,,0,0,,,,
Telegraph Wires And Apparatus,KEEP,0,0,38,29,0,,0,0,,,,
Woollen And Worsted Manufactures — Zinc Or Spekter,KEEP,0,0,1,1,0,,0,0,,,,
Implements And Tools,KEEP,0,0,1,1,0,,0,0,,,,
Tobacco — Toxs,KEEP,0,0,3,3,0,,0,0,,,,
"Arms, Ammunition, And Military Stores — Ordnance Stores, Not Otherwise Described",KEEP,0,0,1,1,0,,0,0,,,,
"Carriages, &C — Railway Waggons, Trucks, &C. And Parts Thereof For Ballast, Minerals, Or Merchandise",KEEP,0,0,14,11,0,,0,0,,,,
Dye Stuffs — Products Of Coal Tar,KEEP,0,0,7,6,0,,0,0,,,,
Dye Stuffs — Other Sorts: Unenumerated,KEEP,0,0,15,9,0,,0,0,,,,
"Linen Manufactures — Steam Engines Or Parts Of Steam Engines,Locomotive",KEEP,0,0,22,22,0,,0,0,,,,
"Medicines — Metals, And Manufactures Thereof: Unenumerated",KEEP,0,0,17,12,0,,0,0,,,,
Woollen And Worsted Manufactures — Hosiery,KEEP,0,0,14,14,0,,0,0,,,,
"Arms And Ammunition — Rockets And Other Combustibles Of War, &C., And Ammunition, Unenumerated",KEEP,0,0,8,6,0,,0,0,,,,
"Carriages, &C — Railway Carriages For Passengers And Parts Thereof",KEEP,0,0,10,7,0,,0,0,,,,
"Coals, Cinders, &C — Products Of Coal, Peat, Or Shale, Including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, And Tar",KEEP,0,0,9,9,0,,0,0,,,,
"Implements And Tools — Instruments And Apparatus ;Surgical, Anatomical, And Scientific",KEEP,0,0,23,17,0,,0,0,,,,
Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines: Agricultural,KEEP,0,0,45,21,0,,0,0,,,,
"Pickles, Vinegar, Sauces, Condiments, Preserved Fruits, And Confectionery",KEEP,0,0,83,38,0,,0,0,,,,
"Woollen And Worsted Manufactures — Small Wares, And Manufactures Of Wool Or Worsted, Unenumerated",KEEP,0,0,103,30,0,,0,0,,,,
"Extracts — Factures Thereof, Unenumerated",KEEP,0,0,16,9,0,,0,0,,,,
Earthen And China Ware — United States,KEEP,0,0,3,3,0,,0,0,,,,
"Furniture, (Household) Cabinet,And Upholstery Wares",KEEP,0,0,138,37,0,,0,0,,,,
Skins And Furs — British: Unenumerated,KEEP,0,0,6,6,0,,0,0,,,,
Dye Stuffs — Dyes Obtained From Coal Tar (Aniline),KEEP,0,0,5,5,0,,0,0,,,,
Hail — Unenumerated,KEEP,0,0,2,2,0,,0,0,,,,
"Cordage, Twine, And Cable Yarn — From British East Indies",KEEP,0,0,7,7,0,,29,29,"Cordage, Twine, And Cable Yarn",,,
"Arms And Ammunition — Rockets And Other Combustiblesfor The Purposes Of War, Ex-Plosives, Percussion Caps, Andammunition, Unenumerated",KEEP,0,0,1,1,0,,0,0,,,,
Articles Subject To Duty,KEEP,0,0,1,2,0,,0,0,,,,
Articles Subject To Duty — Customs Duty,KEEP,0,0,1,1,0,,0,0,,,,
"Fish, Fresh And Cured",KEEP,0,0,1,1,0,,0,0,,,,
Linen Manufactures — To Australasia,KEEP,0,0,1,1,0,,0,0,,,,
Paper,KEEP,0,1,13,13,0,,0,0,,,,
Paper — To United States Of America,KEEP,0,0,4,4,0,,0,0,,,,
General Exports,KEEP,0,0,60,60,0,,0,0,,,,
At Certain Ports,KEEP,0,0,61,43,0,,0,0,,,,
Isle Of Man,KEEP,0,0,3,3,0,,0,0,,,,
Scotland,KEEP,0,0,28,28,0,,0,0,,,,
Ireland,KEEP,0,0,16,16,0,,0,0,,,,
"Earthen And China Ware — Earthenware, Chinaware, &C.",KEEP,0,0,27,27,0,,0,0,,,,
"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",NAME-ART?,44417606,0,208,44,15,"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",17,15,"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",,"Unwrought, In Bars, Blocks, Slabs, Cakes, Or Ingots",
Saltpetre (Nitrate Of Potash) — Clover And Grass,NAME-ART?,23381116,0,165,40,16,Seeds — Clover And Grass,29,12,Cotton,,Clover And Grass,
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",NAME-ART?,9189818,0,44,12,70,"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",70,70,"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",,"Unwrought, In Bars, Blocks, Slabs, Cakes, Or Ingots",
Fish (Including Turtle) — Shell Fish Of All Sorts,NAME-ART?,4489204,0,96,14,27,"Cured, Sardines",42,12,"Cured, Sardines",,Other Sorts Of Shell Fish,
"Copper — Old, Fit Only To Be Re-Manufactured",NAME-ART?,2002327,0,130,33,12,"Old, Fit Only To Be Re-Manufactured",18,12,"Old, Fit Only To Be Re-Manufactured",,"Old, Fit Only To Be Re-Manufactured",
"Silk Manufactures — Silver Ore, Or Ore Of Which The Greater Part In Value Is Silver",NAME-ART?,998593,0,67,25,0,,99,99,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",
"Leather — Varnished, Japanned, Or Enamelled",NAME-ART?,857971,0,44,9,91,"Varnished, Japanned Or Enamelled",91,91,"Varnished, Japanned Or Enamelled",,"Varnished, Japanned Or Enamelled",
"Copper, Ore Of — Old, Fit Only To Be Re-Manufactured",NAME-ART?,829486,0,68,25,72,"Old, Fit Only To Be Re-Manufactured",75,72,"Old, Fit Only To Be Re-Manufactured",,"Old, Fit Only To Be Re-Manufactured",
"Dye Stuffs, And Substances Used In Tanning — Dyes Obtained From Coal Tar",NAME-ART?,668955,0,12,8,0,,0,0,,,Dyes Obtained From Coal Tar,
Chemical Manufactures And Products — Vegetable Matter Applicable To The Uses Of Chicory Or Coffee,NAME-ART?,518582,0,11,11,100,"China, Or Porcelain, And Earthenware",100,100,"China, Or Porcelain, And Earthenware",,"Chicory : Other Vegetable Matter, Applicable To The Uses Of Chicory Or Of Coffee",
"Eggs — Shell Fish, Oysters, All Sorts",NAME-ART?,313164,0,5,4,20,"Fish (Including Turtle) — Shell Fish, Oysterst",80,80,Fish (Including Turtle) — Shell Fish Of All Sorts,,Shell Fish : Oysters,"Eggs — Shell Fish, Oysters For Food"
"Metal — Old, Fit Only To Be Re-Manufactured",NAME-ART?,213323,0,18,21,17,"Beef — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re- Manufactured",78,39,"Old, Fit Only To Be Re-Manufactured",,"Old, Fit Only To Be Re-Manufactured",
Metal — Mica And Talc,NAME-ART?,196710,0,19,12,0,,21,16,"Metal — Unenumerated, Old, Fit Only To Be Re-Manufactured",,Mica And Talc,
"Skins, Furs, And Pelts — In Any Way Dressed; Not Leather : Undressed",NAME-ART?,162223,0,36,19,36,"Skins, Furs, And Pelts — Undressed",67,67,"Skins, Furs, And Pelts — Undressed",,"All Other Sorts, Undressed And Dressed }(Not Leather)",
"Copper, Ore Of — Dyes Obtained From Coal Tar, Other Coal Tar Dyes",NAME-ART?,138297,0,25,6,56,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Dyes Obtained From Coal Tar, Other Coal Tar Dyes",56,52,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Dyes Obtained From Coal Tar, Other Coal Tar Dyes",,Dyes Obtained From Coal Tar,
"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Dyes Obtained From Coal Tar, Other Coal Tar Dyes",NAME-ART?,135438,0,24,6,75,"Copper, Ore Of — Dyes Obtained From Coal Tar, Other Coal Tar Dyes",75,54,"Copper, Ore Of — Dyes Obtained From Coal Tar, Other Coal Tar Dyes",,Dyes Obtained From Coal Tar,
"Meat, Unenumerated — Old, Fit Only To Be Re-Manufactured",NAME-ART?,44563,0,3,3,0,,67,67,"Meat, Unenumerated — Unenumerated; Unwrought : Old, Fit Only To Be Re-Manufactured",,"Old, Fit Only To Be Re-Manufactured",
"Cocoa — Coffee And Chicory, Mixed",NAME-ART?,10310,0,7,7,0,,0,0,,,"Coffee And Chicory, Mixed",
"Dye Stuffs, And Substances Used In Tanning — Dyes Obtained From Coal Tar : Other Coal Tar Dyes",NAME-ART?,1623,0,3,3,0,,33,33,Pictures,,Dyes Obtained From Coal Tar,
Cacosthene — East Coast Of Africa,PHANTOM?,2254909,0,14,14,93,Cacosthene,93,93,Cacosthene,East Coast Of Africa,,
"Hides, Raw, And Pieces Thereof — British Possessions In South Africa",PHANTOM?,309471,0,11,11,0,,55,55,Wet,British Possessions In South Africa,,
"Sugar — Unrefined, Total",REVIEW,395688379,1,867,86,55,"Sugar — Unrefined : Cane, And Other Sorts",56,46,"Sugar — Unrefined : Cane, And Other Sorts",,,
Wood And Timber — Sawn Or Split,REVIEW,262542348,1,288,35,20,Wood And Timber — Fir,22,9,Wood And Timber — Fir,,,
Sugar — Refined : Total Of,REVIEW,224758506,1,251,31,28,"Sugar — Other Sorts, Including Candy",29,27,"Sugar — Other Sorts, Including Candy",,,
"Sugar — Other Sorts, Including Candy",REVIEW,179868263,1,174,26,37,Sugar — Refined : Total Of,40,39,Sugar — Refined : Total Of,,,
Petroleum,REVIEW,125213664,1,179,55,21,"Petroleum, Lubricating — Petroleum, Illuminating And Lu- Bricating",24,20,"Petroleum, Lubricating — Petroleum, Illuminating And Lu- Bricating",,,
Sugar — Unrefined : Beetroot,REVIEW,94159321,1,126,14,29,"Sugar — Unrefined, Total",29,29,"Sugar — Unrefined, Total",,,
Roasted Or Ground,REVIEW,79977075,1,192,49,24,Coffee — Raw,24,12,Coffee — Raw,,,
Iron — Ore Of,REVIEW,75030548,1,330,43,30,Ore Of (Including Chrome),32,26,Ore Of (Including Chrome),,,
Silk Manufactures — Broad Stuffs Of Silk Or Satin,REVIEW,65039940,0,147,28,12,"Cotton — Manufactures, Broad Stuffs, Silk And Satin",13,12,"Cotton — Manufactures, Broad Stuffs, Silk And Satin",,,
Woollen Manufactures — Unenumerated,REVIEW,61882819,0,231,31,11,Woollen Yarn — Carpets And Rugs,13,9,Woollen Yarn — Carpets And Rugs,,,
"China, Or Porcelain, And Earthenware — Wheat",REVIEW,58336343,0,82,34,16,Corn And Grain — Wheat,16,16,Corn And Grain — Wheat,,,
"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",REVIEW,56086193,1,218,56,36,"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel, Unenumerated",51,22,Ivory,,,
"Cotton — Manufactures, Broad Stuffs, Silk And Satin",REVIEW,56006655,0,56,10,30,Silk Manufactures — Broad Stuffs Of Silk Or Satin,32,30,Silk Manufactures — Broad Stuffs Of Silk Or Satin,,,
Beef — Fresh,REVIEW,53307583,1,97,19,28,Fish — Fresh,28,25,Fish — Fresh,,,
"Spirits — Unenumerated, Sweetened Or Mixed (Tested)",REVIEW,50651924,0,67,15,21,"Fruit — Unenumerated, Sweetened, Or Mixed (Tested)",22,12,"Fruit — Unenumerated, Sweetened, Or Mixed (Tested)",,,
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",REVIEW,48764992,1,558,69,30,"Skins : Goat, Undressed",44,12,"Silk Manufactures — Silver Ore, Or Ore Of Which The Greater Part In Value Is Silver",,,
"Leather, Undressed",REVIEW,41862507,1,232,36,34,"Skins, Furs, And Pelts — Undressed",34,34,"Skins, Furs, And Pelts — Undressed",,,
"Tin — In Blocks, Ingots, Bars, Or Slabs",REVIEW,41132729,1,199,35,21,"Slates — In Blocks, Ingots, Bars, Or Slabs",23,20,"Slates — In Blocks, Ingots, Bars, Or Slabs",,,
Spirits — Brandy,REVIEW,38706628,1,278,35,31,Imitation Rum,35,17,Imitation Rum,,,
Cotton Manufactures — Unenumerated,REVIEW,36096276,0,218,31,11,Yarn,18,6,"Drugs — Bark, Peruvian",,,
"Zinc — Crude, In Cakes",REVIEW,31761465,1,367,58,30,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",38,28,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",,,
Fruit — Unenumerated : Raw,REVIEW,31472242,1,344,29,24,"Flax — Unenumerated, Raw",24,19,"Flax — Unenumerated, Raw",,,
"Silk — Manufactures Of Silk Or Of Silk Mixed With Other Materials, Unenumerated",REVIEW,30549357,0,127,25,12,"Shells Of All Kinds — Manufactures Of Silk Or Of Silk Mixed With Other Materials, Unenumerated",28,16,"Silk Manufactures — Manufactures Of Silk, Or Of Silk Mixed With Other Materials, Unenumerated",,,
Tobacco — Cigars,REVIEW,27972651,0,478,52,21,Tobacco — Unmanufactured,22,14,Tobacco — Unmanufactured,,,
"Spirits — Unenumerated, Including Shrub",REVIEW,25663083,0,77,14,16,"Fruit — Perfumed Spirits (Including Water Cologne) : Unenumerated, Including Shrub",32,13,Tea,,,
Farinaceous Substances And Manufactures Thereof,REVIEW,23191758,1,399,51,22,Feathers And Down,28,14,Feathers And Down,,,
Tobacco — Champagne,REVIEW,22637622,0,42,8,12,"Tobacco — White, In Bottles, Still : Champagne",14,7,"Tobacco — White, In Bottles, Still : Champagne",,,
"Shells Of All Kinds — Manufactures Of Silk Or Of Silk Mixed With Other Materials, Unenumerated",REVIEW,20479234,0,98,23,33,"Silk — Manufactures Of Silk Or Of Silk Mixed With Other Materials, Unenumerated",34,12,"Silk — Manufactures Of Silk Or Of Silk Mixed With Other Materials, Unenumerated",,,
Zinc — Unmanufactured,REVIEW,17792799,0,356,66,12,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenum- Erated",13,9,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenum- Erated",,,
"Fruit — Apples, Raw",REVIEW,17627139,1,216,23,34,"Fish (Including Turtle) — Apples, Raw",34,26,"Fish (Including Turtle) — Apples, Raw",,,
"Cotton — Manufactures, Ribbons, Silk And Satin",REVIEW,15946141,0,20,5,35,"Silk — Ribbons, Silk Or Satin",35,30,"Silk — Ribbons, Silk Or Satin",,,
Woollen Yarn — Carpets And Rugs,REVIEW,15531253,0,75,16,39,Woollen Manufactures — Unenumerated,39,27,Woollen Manufactures — Unenumerated,,,
Silk — Manufactures,REVIEW,15506912,1,20,5,45,"Shells Of All Kinds — Manufactures, Broad Stuffs, Velvet, Plain Or Figured, Wholly Of Silk",45,35,"Shells Of All Kinds — Manufactures, Broad Stuffs, Velvet, Plain Or Figured, Wholly Of Silk",,,
Nuts And Kernels — Coco-Nut,REVIEW,15011461,1,182,42,31,Oil — Palm,45,18,Oil — Palm,,,
"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",REVIEW,13781207,0,502,70,29,"Zinc — Crude, In Cakes",38,20,"Zinc — Crude, In Cakes",,,
"Skins : Goat, Undressed",REVIEW,12909746,1,231,39,42,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",42,27,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",,,
Manures,REVIEW,12755884,1,29,28,24,Manures — Phosphate Of Lime And Rock,24,24,Manures — Phosphate Of Lime And Rock,,,
Valonia,REVIEW,12717868,1,80,12,20,"Copper, Ore Of — Valonia",20,16,"Copper, Ore Of — Valonia",,,
"Tobacco — White, In Bottles, Still : Champagne",REVIEW,12673979,0,88,24,17,Wine — Red: Total Of,36,12,Wine — Red: Total Of,,,
"Flax — Nuts, Used As Fruit",REVIEW,12150198,0,118,24,31,"Fruit — Nuts, Used As Fruit",32,24,"Fruit — Nuts, Used As Fruit",,,
"Slates — In Blocks, Ingots, Bars, Or Slabs",REVIEW,12062483,0,82,23,49,"Tin — In Blocks, Ingots, Bars, Or Slabs",74,49,"Tin — In Blocks, Ingots, Bars, Or Slabs",,,
"Tobacco — Red, In Casks",REVIEW,11935083,0,84,24,11,"Tea — Red, In Casks",13,10,"Tea — Red, In Casks",,,
"China, Or Porcelain, And Earthenware",REVIEW,11556016,1,179,16,42,"Cheese — China Or Porcelain, And Earthen- Ware",44,28,"Cheese — China Or Porcelain, And Earthen- Ware",,,
"Silk — Ribbons, Silk Or Satin",REVIEW,11455337,0,15,6,40,"Cotton — Manufactures, Ribbons, Silk And Satin",40,40,"Cotton — Manufactures, Ribbons, Silk And Satin",,,
"Fish (Including Turtle) — Nuts, Used As Fruit",REVIEW,11026633,0,136,35,44,"Fruit — Nuts, Used As Fruit",47,38,"Fruit — Nuts, Used As Fruit",,,
"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenum- Erated",REVIEW,10895502,0,164,37,39,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",39,23,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",,,
Slates,REVIEW,10823924,1,375,52,43,Lates,52,30,Lates,,,
Manures — Phosphate Of Lime And Rock,REVIEW,10753601,1,211,34,41,Phosphate Of Lime And Rock,43,31,Phosphate Of Lime And Rock,,,
Petroleum — Refined,REVIEW,10152851,0,21,4,24,Paper — Refined,24,24,Paper — Refined,,,
"Fruit — Nuts, Used As Fruit",REVIEW,9831279,0,287,37,22,"Fish (Including Turtle) — Nuts, Used As Fruit",27,18,"Fish (Including Turtle) — Nuts, Used As Fruit",,,
Glass — Dressed Or Undressed,REVIEW,9778918,0,86,30,17,Hemp — Dressed Or Undressed,43,35,Hats Or Bonnets — Of Other Materials,,,
"Manufactures Of Iron Or Steel — Girders, Beams And Pillars",REVIEW,9351443,1,38,7,21,"Manufactures Of Iron And Steel — Girders, Beams, Joists And Pillars",24,13,"Manufactures Of Iron And Steel — Girders, Beams, Joists And Pillars",,,
Wood And Timber — Unenumerated,REVIEW,9295072,1,294,62,33,"Wood And Timber — Unenumerated (Not Being Ash, Beech, Birch, Elm, Oak, Or Wainscot)",49,15,Wood And Timber — Mahogany : Unenumerated,,,
"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)",REVIEW,8639675,1,153,20,22,"Stones, Marble, And Slate — (Other Than Works Of Art)",24,14,"Stones, Marble, And Slate — (Other Than Works Of Art)",,,
"Sugar — Sawn Or Split, Planed Or Dressed : Unenumerated",REVIEW,8088557,0,115,13,12,"Wood And Timber — Sawn, Unenumerated",14,5,"Wood And Timber — Sawn, Unenumerated",,,
Hemp,REVIEW,8037192,1,207,51,41,Hats Or Bonnets — Eastern Coast Of Africa,53,16,Hats Or Bonnets — Eastern Coast Of Africa,,,
"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty",REVIEW,7815207,0,143,28,51,"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty (Including Carbide Of Calcium)",53,31,"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty (Including Carbide Of Calcium)",,,
"Wood And Timber — Unenumerated (Not Being Ash, Beech, Birch, Elm, Oak, Or Wainscot)",REVIEW,7644269,0,285,57,22,Wood And Timber — Unenumerated,26,11,Wood And Timber — Unenumerated,,,
"Fruit — Unenumerated, Dried",REVIEW,7356237,1,290,43,38,"Fish (Including Turtle) — Unenumerated, Dried",44,30,"Fish (Including Turtle) — Unenumerated, Dried",,,
Of Wool (Other Than Goats'): Cloths,REVIEW,6951628,1,22,7,68,Woollen Yarn — Cloths,77,64,Woollen Yarn — Cloths,,,
Nuts And Kernels — Seed,REVIEW,6754277,1,128,27,22,"Seed, Of All Kinds",41,19,"Oil — Chemical, Essential, Or Perfumed",,,
"Wood And Timber — Sawn, Unenumerated",REVIEW,6072252,0,126,14,13,"Sugar — Sawn Or Split, Planed Or Dressed : Unenumerated",17,6,Wood And Timber — Unenumerated,,,
Wine — White: Total Of,REVIEW,6025057,0,47,27,23,"Tobacco — White, Total Of",26,23,"Tobacco — White, Total Of",,,
Silk — Unenumerated,REVIEW,5989816,0,21,14,33,"Shells Of All Kinds — Manufactures Of Silk Or Of Silk Mixed With Other Materials, Unenumerated",33,33,"Shells Of All Kinds — Manufactures Of Silk Or Of Silk Mixed With Other Materials, Unenumerated",,,
Manures — Nitrate Of Soda (Cubic Nitre),REVIEW,5843558,1,23,8,30,"Nitre, Cubic (Nitrate Of Soda)",30,22,"Nitre, Cubic (Nitrate Of Soda)",,,
Geldings,REVIEW,5786347,1,134,25,28,"Animals, Living — Stallions : Geldings",34,17,"Animals, Living — Stallions : Geldings",,,
"Cotton Manufactures — Piece Goods, Other Than Muslins",REVIEW,5712333,0,95,20,15,Other Than Muslins,27,15,Other Than Muslins,,,
Vinegar,REVIEW,5466821,1,161,23,28,Wine — Red,30,29,Wine — Red,,,
Cotton Manufactures — Hosiery,REVIEW,5361846,0,69,8,14,Cotton Manufactures — Hosiery Of All Sorts,17,14,Cotton Manufactures — Hosiery Of All Sorts,,,
"Cured, Sardines",REVIEW,5332149,1,59,12,37,Fish (Including Turtle) — Shell Fish Of All Sorts,42,20,Fish (Including Turtle) — Shell Fish Of All Sorts,,,
Tow,REVIEW,5312226,1,118,25,48,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",53,20,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",,,
"Glass, Of All Kinds",REVIEW,5194847,1,275,70,36,Horse,53,10,Hemp,,,
Woollen Yarn — Cloths,REVIEW,5167325,0,43,7,40,Of Wool (Other Than Goats'): Cloths,47,33,Of Wool (Other Than Goats'): Cloths,,,
Bark,REVIEW,5119335,1,244,31,20,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Bark",21,21,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Bark",,,
"Jute — Manufactures Of, Including     Piece Goods, Sacks, And     Bags",REVIEW,4727639,0,21,7,62,"Ivory — Manufactures Of, Including Piece Goods, Sacks, And Bags",62,38,"Ivory — Manufactures Of, Including Piece Goods, Sacks, And Bags",,,
Preserved Without Sugar,REVIEW,4652152,1,71,27,32,"Preserved Without Sugar, Other Than Dried",42,32,"Preserved Without Sugar, Other Than Dried",,,
"Books, Bound And Unbound, In- Cluding Maps And Charts",REVIEW,4610402,0,123,26,32,Books,50,22,Books,,,
Tea — Unmanufactured,REVIEW,4448922,0,36,36,28,Wine — Red,78,50,Tobacco — Unmanufactured,,,
"Varnished, Japanned Or Enamelled",REVIEW,4272321,1,176,28,27,"Leather — Varnished, Japanned, Or Enamelled",32,23,"Leather — Varnished, Japanned, Or Enamelled",,,
"Cotton — Manufactures Of Skins And Furs, Including Rugs",REVIEW,4229817,0,54,10,46,"Skins, Furs, And Pelts — Manufactures Of, Including Rugs",46,41,"Skins, Furs, And Pelts — Manufactures Of, Including Rugs",,,
Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,REVIEW,4128642,1,87,29,32,Wood And Timber — Mahogany,38,34,Wood And Timber — Mahogany,,,
"Dye Stuffs, And Substances Used In Tanning — Unenumerated",REVIEW,4033508,0,216,39,24,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Unenumerated",24,9,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Unenumerated",,,
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Valonia",REVIEW,4003272,0,149,42,32,"Copper, Ore Of — Valonia",46,26,"Copper, Ore Of — Valonia",,,
"Poultry And Game (Alive Or Dead), Including Rabbits — Rich",REVIEW,3990214,0,16,16,50,Rice,50,50,Rice,,,
Embroidery And Needle- Work,REVIEW,3945468,0,35,8,29,Embroidery And Needlework,29,26,Embroidery And Needlework,,,
"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",REVIEW,3913451,0,236,37,66,"Copper, Ore Of — Dutch Possessions In The Indian Seas",66,31,"Copper, Ore Of — Dutch Possessions In The Indian Seas",,,
