commodity,action,target,note,years
"Hats Or Bonnets — Manufactures Of Iron Or Steel, Unenumerated",fold,"Iron — Manufactures Of Iron Or Steel, Unenumerated","the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it; the article is verbatim the target's own name, and its 1893 matches the national total at 1.009",
Oil — Turpentine (Oil Or Spirit Of),fold,Oil — Turpentine,"the same line under its fuller printed name, origins 1872-79; the target holds origins 1880-99 and a 1872-93 national total",
Turpentine,fold,Oil — Turpentine,"de-headed era label carrying the national total 1866-1900. Merged, 24 of the 28 checkable years sit at 1.00",
Vegetables — Raw · Onions,fold,Onions — Raw,"same line under the vegetables family head, origins 1873-78. Folded into the correctly-named label, which holds the 1866-99 national total and origins 1880-99; merged, 24 of 27 checkable years sit at 1.00",
"Crude, In Cakes",fold,"Zinc — Crude, In Cakes","de-headed label: 'Crude, In Cakes' names nothing on its own. Supplies 1877, 1879, 1884 and the 1892-1900 national total; merged, 26 of 28 checkable years sit at 1.00",
Gum — Of Other Sorts,fold,Gum — Unenumerated,"era label for the same line, national total 1872-87; the target's origins match it at 1.00 in 13 of 15 checkable years",
Oil — Opium,fold,Opium,the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it. Origins 1872-77 against the target's national total; four of five checkable years at 1.00,
Oil Seed Cake — Opium,fold,Opium,"the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it (oil seed cake is the line above); two years, both matching the printed total",
"Dyeing Or Tanning Stuffs — Cochineal, Granilla, And Dust",fold,Cochineal (Including Granilla And Dust),"the same line under the family head, carrying the 1868-95 national total for the origins the target holds",
"Coals, Culm, And Cinders — Confectionery (Not Otherwise Enumerated)",fold,Confectionery,"the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it. Origins 1875-79, disjoint from the target's 1880-95",
Honey — Tips And Pieces Of Horn And Hoofs,fold,Horns And Hoofs Of Cattle,the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it. Origins 1872-77 against the target's 1868-81 national total; four of six years at 1.00,
Feathers — Ornamental,fold,Feathers And Down — Ornamental,"era label for the same line, carrying the 1868-91 national total and origins 1872-90; the target holds 1891-98",
"Meat, Unenumerated — Salted Or Fresh",fold,"Meat — Salted Or Fresh, Not Otherwise Described","the same line under a shortened era label. A two-way split: this half holds the 1878-99 national total AND origins 1880-99, the target holds origins 1872-79 and the 1866-70 total",
Oil Seed Cake,fold,Oil — Oil Seed Cakes,de-headed era label holding the 1866-96 national total and origins 1875-91; the target holds 1872-74,
Furniture And Hardwoods — Mahogany,fold,Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,"era label for the same line, carrying the 1868-87 national total and origins 1886-88; the target holds origins 1876-81 and matches at 1.00 in four of six checkable years",
Furniture And Hardwoods — Unenumerated,fold,"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated","era label for the same line, holding the national total the target lacks; six checkable years at 1.00",
Butter And Butterine,fold,Butter,"the era name for the same printed line: the two national totals are identical to the digit in all eight overlapping years, 1878-85. It holds the 1882-85 origin tables, which the target lacks entirely - butter showed four blank years in the middle of a continuous series. Merged, 1882-85 close at 1.00. (The line really did include butterine until 1886, which is why the national total falls 36% that year when the two were printed separately.)",
Wool,fold,Wool — Sheep Or Lambs',"the same table with its head lost - one of its own 1899 origin rows is the article 'Sheep Or Lambs'. Where both labels cover a year the figures are identical to the digit (New South Wales 1896: 163,717,080 either way), so it adds nothing there; for 1897-99 it holds the ONLY copy of the colonial wool (Australasia, New South Wales, New Zealand, the Cape), which the target lacks entirely - it showed 65-77M lb of European wool against a 663-736M lb national total",
"Wool — Alpaca, Llama, And Vicuna",fold,"Wool — Alpaca, Vicuña, And Llama","the same line, the three animals in a different printed order and the accent lost. It holds the 1868-77 national total and the 1872-80 origins; the target holds 1878-1900. Merged, 24 of the 26 checkable years sit at 1.00",
Coffee,fold,Coffee — Raw,"the same line: the volumes print plain 'Coffee' and then 'Coffee, Raw' once roasted/ground coffee got its own line in the 1890s. The two national totals agree to the digit in all six overlapping years, 1892-97. This label holds the origins for 1874-1890 and the target holds 1873 and 1890-99, so plain Coffee showed nine anchor years (1891-99) with no origins at all. Folded INTO the raw label, which is both the accurate name beside 'Coffee — Manufactured' and the better copy of the two years they share (1873: 1,637,523 cwt against a fragment of 18,384; 1890: 1.06 of the national total against 0.68)",
Palm,fold,Oil — Palm,"de-headed era label carrying the same national line: the two agree to the digit in every year both print except 1887. It supplies the anchor for 1877 and 1894-1900, which the target lacks entirely, and those years match the target's origin sums exactly (1896: 1,146,241 either way; 1897: 973,060; 1898: 910,900)",
Oil,fold,Oil — Palm,"the de-headed label holds palm oil's West African origins - Lagos, the Niger Protectorate, the Gold Coast, Sierra Leone, Fernando Po - for 1886-92, the years the target shows only European re-exports. The arithmetic settles it: for six of those seven years these cells plus the target's own come to the printed national total at 1.00, and to the digit in 1888 (877,070 + 76,729 = 953,799). Its 1893-99 cells are a duplicate of years the target already has and are blocked by them; the corrupt 1898-99 ones (245M and 34M against a ~1M cwt trade) carry no unit and never reach the quantity axis SCOPED to 1886-92 (2026-07-25): those are the years it is the only carrier of. Its 1897-99 cells are glue whose 'countries' are commodity names (Petroleum Gallons GBP97.6M, Potatoes, Paper-Making Materials); they carry no unit so they never reached the quantity axis, but VALUE has no unit to lose and they inflated palm oil's 1898 origin value ninefold. The target already holds 1893-99 from its own consensus and group repairs, so nothing real is given up.",1886-1892
"Nitre, Cubic (Nitrate Of Soda) — Palm",fold,Oil — Palm,"the head is glue from a neighbouring nitrate table; the article names the commodity. Its six cells are all 1880 and all West African - the Gold Coast, Fernando Po, West Africa Settlements, Portuguese Possessions in Western Africa - and they sum to 1,032,793 against palm oil's printed 1880 total of 1,032,823, a year the target had NO origins for at all. West Africa shipped palm oil and palm kernels and essentially nothing else in oils, so the geography confirms what the arithmetic already closes",
Oil — West Coast Of Africa (Foreign),fold,Oil — Palm,"a place absorbed as the article: the label is an oil origin table for the West African coast. Its seven cells are all 1873 and sum to 1,013,186 against palm oil's printed total of 1,017,947 - a year the target showed 4,761 cwt",
Oil — West Coast Of Africa,fold,Oil — Palm,"same class. Its 1872 cells sum to 999,483 against palm oil's printed total of 1,006,497, a year the target showed 6,994 cwt. Its 1896 cells repeat years the target already closes at 1.00 (Lagos 671,642 either way) and are blocked by them",
Cochineal,fold,Cochineal (Including Granilla And Dust),"era/table split of ONE printed import line, not two commodities: the country tables abbreviate the heading from 1882 while the abstract keeps the full form to 1895. The fold validates itself — the target's printed NATIONAL TOTAL equals this label's ORIGIN SUM to the digit in 1882 (26,330), 1884 (14,766), 1885 (14,228), 1886 (14,941) and 1887 (10,089), and where both labels carry a Tier-1 line (1893-95) the two totals agree exactly (4,471 / 4,577 / 5,813). abstract_obs confirms one import line: 'Cochineal, Granilla, and Dust' 1868-95, then plain 'Cochineal' 1893-1900 (the plain-'Cochineal' Tier-1 rows of the 1870s-80s are the RE-EXPORT line, a different flow). Complementary: the target held the anchor 1866-95 with origins only 1872-81; this label held origins 1882-99 with an anchor only from 1893. Folded, the commodity has origins 1872-99 against an anchor 1866-1900.",
Cotton — Flax Or Linseed,rename,Seeds — Flax Or Linseed,"The printed article is 'SEEDS: Flax or Linseed' — the OILSEED, not flax fibre. The COTTON head is stale glue: in the printed list of seed sub-articles (Cotton, Flax or Linseed, Rape, Unenumerated) the parser promoted 'Cotton' — meaning COTTONSEED — to a group because Cotton is a major group name elsewhere, and every sub-article after it inherited it. Three proofs it is seed: the unit is QUARTERS in 474 of 477 cells (fibre is sold by Ton/Cwt); the origins are Russia (Black Sea + Northern ports), Bengal, Bombay and Argentina — the Calcutta/Black Sea/River Plate linseed trade, none of which shipped flax fibre; and as_1885 prints 'SEEDS (Contd): Flax or Linseed:'. Rename only — the Seeds-headed twin already merges into this commodity via the FLAX+LINSEED token fold, so no cells move.",
Cotton — Rape,fold,Seeds — Rape,"Same Tier-1/Tier-2 label split as cochineal: the abstract keeps the 'Seeds' head while the country tables lost it to the COTTON glue, so the TARGET holds the ANCHOR (1869-91, almost no origins) and this label holds the ORIGINS (1872-99, no anchor). Self-validating: the target's printed national total equals this label's origin sum to the digit in 1875 (496,541), 1877 (537,234), 1878 (639,699), 1881 (367,444) and 1882 (548,806). Folded INTO the Seeds-headed name so the commodity carries the head the source prints — rape seed is an oilseed, and nothing here is cotton.",
"Cotton — Unenumerated, For Expressing Oil Therefrom",fold,"Seeds — Unenumerated, For Expressing Oil Therefrom","Same split, same family: anchor on the Seeds-headed target (1869-89), origins on this COTTON-glued label (1882-99). Exact agreement where both print: 1882 120,963, 1887 133,347, 1889 170,792.",
"Sugar — Refined, Or Rendered By Any Process Equal Thereto : In Lumps And Loaves",fold,Sugar — In Lumps And Loaves,"the same printed line under the long heading. In every overlapping year 1893-98 the two labels agree country for country to the digit (1893, 1896 and 1898 identical throughout; 1894/95/97 differ only in single OCR digits), so this is not the complement the coverage pattern suggested but a second reading. It is the SOLE carrier of 1882, 1884 and 1899, which the short label lacks entirely - 1899's 2,565,847 closes the family (plus other sorts 15,181,144 against a printed refined total of 17,809,121). Folded with the short label winning every shared cell.",
